| #  | Yoga       | Planet          |
| -- | ---------- | --------------- |
| 1  | Vishkambha | Saturn (Śani)   |
| 2  | Priti      | Mercury (Budha) |
| 3  | Ayushman   | Ketu            |
| 4  | Saubhagya  | Venus (Śukra)   |
| 5  | Shobhana   | Sun (Sūrya)     |
| 6  | Atiganda   | Moon (Chandra)  |
| 7  | Sukarma    | Mars (Maṅgala)  |
| 8  | Dhriti     | Rahu            |
| 9  | Shoola     | Jupiter (Guru)  |
| 10 | Ganda      | Saturn (Śani)   |
| 11 | Vriddhi    | Mercury (Budha) |
| 12 | Dhruva     | Ketu            |
| 13 | Vyaghata   | Venus (Śukra)   |
| 14 | Harshana   | Sun (Sūrya)     |
| 15 | Vajra      | Moon (Chandra)  |
| 16 | Siddhi     | Mars (Maṅgala)  |
| 17 | Vyatipata  | Rahu            |
| 18 | Variyan    | Jupiter (Guru)  |
| 19 | Parigha    | Saturn (Śani)   |
| 20 | Shiva      | Mercury (Budha) |
| 21 | Siddha     | Ketu            |
| 22 | Sadhya     | Venus (Śukra)   |
| 23 | Shubha     | Sun (Sūrya)     |
| 24 | Shukla     | Moon (Chandra)  |
| 25 | Brahma     | Mars (Maṅgala)  |
| 26 | Indra      | Rahu            |
| 27 | Vaidhriti  | Jupiter (Guru)  |

